PC1;PC2;city
-41.166;68.97932;amsterdam
-8.383175;-30.988525;amsterdam
63.214016;47.303036;amsterdam
70.39178;-60.27823;amsterdam
58.2688;-69.018906;barcelona
-62.416916;-1.6507893;barcelona
87.58012;21.504282;barcelona
18.295677;82.81585;barcelona
-8.502077;82.43167;rome
9.623311;-66.492874;rome
-71.606865;-5.540625;rome
67.08568;5.9214716;rome
-42.239475;19.944962;berlin
74.351776;-16.779202;berlin
49.877613;63.880196;berlin
13.188229;-79.4381;berlin
17.342985;-75.533264;budapest
-66.08429;-50.727104;budapest
32.9909;29.01384;budapest
-79.79124;53.01424;budapest
37.59215;40.713673;vienna
-57.74732;-53.596344;vienna
46.079636;-60.42352;vienna
-70.912476;60.421703;vienna
65.04092;51.40802;london
-62.450993;13.686815;london
70.58488;-29.510302;london
-6.941311;76.90993;london
4.4823456;-24.917906;london
-63.598175;-31.734234;lisbon
39.42003;-47.05733;lisbon
10.462154;76.82982;lisbon
-86.40047;48.63016;lisbon
19.440315;-74.23517;athens
32.58943;34.502724;athens
-63.441734;-54.9197;athens
-76.25188;60.71925;athens
-35.855408;43.66935;paris
-8.465428;-10.648809;paris
26.708363;61.46488;paris
86.84795;-5.3447723;paris
-5.58665;-94.64395;paris
