TSNE1;TSNE2
68.750465;-12.736413
47.15014;86.60011
34.396557;104.34042
-45.80517;95.72614
85.053055;-64.23681
59.29593;38.960014
69.826614;73.34292
-11.607866;-25.397837
111.39491;-11.796575
-3.456973;-15.642708
67.747795;-87.3089
0.3559494;4.1241198
-22.49219;-82.273
58.250916;-7.433548
84.55205;-62.332584
48.995094;88.50919
46.771168;-99.09081
46.970737;-99.43385
29.195057;-36.08676
68.52971;-87.04427
-9.375773;-18.296038
111.22895;-13.491196
67.895134;74.10227
63.344296;-62.034115
56.689335;0.013065957
103.29017;-1.9997782
70.84979;73.972176
3.6295981;-26.650314
93.21626;-41.495255
-91.36441;44.48699
-16.25682;-31.84028
-51.460705;-23.336851
-15.440547;-24.399525
-21.247814;-27.656237
60.331314;-33.05019
67.13981;46.4026
-10.55143;-21.42446
65.827644;46.342533
-44.154305;99.61364
-45.165794;97.6284
-44.617004;98.650505
-16.710375;-72.89565
93.391884;19.721107
-44.21748;99.6681
-44.66491;98.68629
-15.709892;-76.92074
83.28638;-51.8204
51.565628;40.982475
5.5648284;-16.412746
-44.731976;100.03498
94.41219;-41.645313
49.6183;-98.704834
-44.88901;99.81948
-44.727345;100.0326
-44.661472;-7.9492836
10.748942;30.514181
-8.699522;-19.796309
-8.283054;-22.173973
50.19354;-98.40402
15.559984;-21.961145
71.79599;-46.704678
5.582766;-16.297441
-49.05784;-0.9202476
5.4741387;-14.005955
-11.502618;-78.598976
70.65376;-82.50098
77.85976;-55.224598
-16.348795;-27.693441
-24.591122;-81.67587
-12.574287;60.105423
70.38674;74.40331
86.428314;-65.74783
-24.542408;-81.68701
48.235832;42.308155
94.42373;20.835733
-32.888504;-85.943596
48.097664;91.37749
59.064915;18.15663
48.89124;85.68587
63.463547;-61.426937
63.45792;-61.431046
-1.6656656;-13.590127
63.459927;-61.439896
34.845802;-74.95844
61.017174;11.070699
47.015186;44.660553
95.17875;20.77273
64.324165;26.542208
-12.704973;-26.036068
87.91106;-41.805244
79.6847;-55.612488
-36.906536;-95.70032
-1.8869188;-19.794655
6.688753;7.3384447
6.9507885;7.409115
-5.157982;39.2795
4.4548035;-16.329124
85.31263;-64.68994
27.012262;-94.552765
77.568886;-55.071854
84.613144;-62.468742
61.4704;53.102474
-20.555769;-82.55913
47.73265;85.40134
12.322819;-86.243164
1.2928666;-13.403896
1.6097147;-11.355511
50.558792;-96.569115
35.746918;-74.33868
5.6484585;-16.453365
-20.794214;-82.74203
-8.920376;-77.98019
82.39471;-56.056053
74.31607;-69.27651
-16.523844;-71.93626
77.81538;-55.23826
86.125015;-3.4711199
7.3072977;-13.160105
-20.888695;-80.766014
3.5116422;5.34618
2.1452968;-16.288048
-8.377668;-22.52655
-14.542416;-75.54713
0.52145016;-17.395906
65.96578;-60.500057
-7.5311103;-21.211891
51.37099;-97.99657
10.076418;-23.118511
2.8509574;5.290165
9.617453;-88.96371
3.362415;-31.77892
-15.940427;-78.8
-8.243649;-18.660719
-0.85750306;-19.477072
-14.645818;-31.006824
59.54069;17.037855
48.834957;87.25
-14.309473;-31.521671
60.592648;11.107407
84.55862;-41.542194
56.18211;1.0467414
69.59744;71.40021
24.789217;108.3492
97.199295;20.097057
0.8375542;-16.918215
26.861767;97.30039
-1.5873328;6.640263
82.071556;14.833631
-3.9481628;-15.766068
56.462185;0.8850235
48.267227;-28.452034
-3.831712;-16.448254
-3.5100281;-19.816843
93.65477;-41.171314
-46.20302;97.3435
97.902016;-46.790424
25.33512;-97.29
3.9880877;-27.156
30.4584;52.554626
61.335106;11.364792
